"idno","netusoft","netustm","polintr","vote","prtvtgee","clsprty","prtclgee","prtdgcl","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","happy","health","rlgblg","rlgdnm","rlgblge","rlgdnme","rlgdgr","ctzcntr","ctzshipd","brncntr","cntbrthd","lnghom1","lnghom2","gndr","agea","rshpsts","marsts","domicil","edlvdee","eduyrs","mnactic","pdjobev","pdjobyr","emplrel","emplno","wrkctra","estsz","jbspv","njbspv","wkdcorga","iorgact","wkhct","icwhct","wkhtot","nacer2","tporgwk","isco08","wrkac6m","uemp3m","uemp12m","uemp5yr","mbtru","region","totinch","ptotinc"
62588,1,NA,2,1,4,1,2,2,5,8,4,6,4,6,3,7,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,62,1,NA,4,610,16,1,NA,NA,1,NA,1,3,1,NA,9,6,40,1,45,1,4,1311,2,1,1,2,3,"Southern",2167,1084
62632,5,480,3,2,NA,2,NA,NA,5,9,8,8,7,8,6,8,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,27,NA,6,1,610,17,1,NA,NA,1,NA,1,3,1,10,10,3,40,1,45,84,1,3359,2,2,NA,NA,3,"North",1357,1357
62671,5,270,3,1,1,2,NA,NA,6,7,7,5,6,4,5,7,2,1,3,NA,NA,3,1,"6666",1,"6666","EST","RUS",2,32,NA,6,4,620,15,1,NA,NA,1,NA,1,3,2,NA,4,4,40,1,40,85,1,2330,2,2,NA,NA,2,"Southern",1900,633
62737,1,NA,4,1,4,2,NA,NA,5,7,5,4,7,8,6,8,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,36,NA,6,3,321,10,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,"Southern",2311,469
62738,5,600,4,2,NA,2,NA,NA,5,7,4,5,6,8,7,8,1,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,21,NA,6,5,313,12,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,"Southern",3575.65651508048,191
62760,1,NA,4,1,2,1,2,2,5,4,9,6,6,6,3,6,3,1,2,NA,NA,5,1,"6666",1,"6666","EST","000",1,74,1,NA,4,321,9,6,NA,2006,1,NA,1,2,2,NA,2,2,40,1,40,41,4,7111,2,1,1,2,2,"Northeastern",892,446
62765,5,240,2,1,NA,2,NA,NA,5,5,5,5,5,7,3,5,2,2,NA,2,NA,3,1,"6666",1,"6666","EST","000",1,40,1,NA,3,620,17,1,NA,NA,1,NA,1,3,1,32,10,3,40,1,40,84,1,1219,2,1,2,2,2,"Southern",1992,498
62834,5,180,2,1,11,1,11,2,6,8,8,5,6,8,5,8,2,2,NA,2,NA,1,1,"6666",1,"6666","EST","000",1,38,3,6,2,423,12,1,NA,NA,1,NA,1,3,2,NA,5,2,40,1,40,41,4,2142,2,2,NA,NA,3,"North",2852,1426
62839,5,420,1,1,1,2,NA,NA,5,10,10,8,8,8,6,8,1,1,7,NA,NA,6,1,"6666",1,"6666","EST","000",1,46,NA,4,1,720,16,1,NA,NA,1,NA,1,4,1,9,10,0,40,1,40,41,4,1323,2,1,2,2,3,"North",1925,962
62842,5,420,3,2,NA,2,NA,NA,5,7,6,6,5,6,5,8,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,19,3,6,1,213,11,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,"North",244,0
